Date,DHB,Active,Recovered,Deceased,Total
2021-03-01,Total,67,2285,26,2378
2021-03-02,Auckland,0,225,1,226
2021-03-02,Whanganui,0,9,0,9
2021-03-02,West Coast,0,4,1,5
2021-03-02,Waitemata,0,296,4,300
2021-03-02,Wairarapa,0,8,0,8
2021-03-02,Waikato,0,193,2,195
2021-03-02,Taranaki,0,16,0,16
2021-03-02,Tairawhiti,0,4,0,4
2021-03-02,Southern,0,214,2,216
2021-03-02,South Canterbury,0,17,0,17
2021-03-02,Northland,0,29,0,29
2021-03-02,Nelson Marlborough,0,49,0,49
2021-03-02,Mid Central,0,32,0,32
2021-03-02,Lakes,0,16,0,16
2021-03-02,Hutt Valley,0,24,0,24
2021-03-02,Hawke's Bay,0,44,0,44
2021-03-02,Counties Manukau,10,221,1,232
2021-03-02,Capital and Coast,0,94,2,96
2021-03-02,Canterbury,0,156,12,168
2021-03-02,Bay of Plenty,0,48,0,48
2021-03-02,Managed Isolation & Quarantine,59,588,1,648
2021-03-02,Total,69,2287,26,2382
2021-03-03,Auckland,0,225,1,226
2021-03-03,Whanganui,0,9,0,9
2021-03-03,West Coast,0,4,1,5
2021-03-03,Waitemata,0,296,4,300
2021-03-03,Wairarapa,0,8,0,8
2021-03-03,Waikato,0,193,2,195
2021-03-03,Taranaki,0,16,0,16
2021-03-03,Tairawhiti,0,4,0,4
2021-03-03,Southern,0,214,2,216
2021-03-03,South Canterbury,0,17,0,17
2021-03-03,Northland,0,29,0,29
2021-03-03,Nelson Marlborough,0,49,0,49
2021-03-03,Mid Central,0,32,0,32
2021-03-03,Lakes,0,16,0,16
2021-03-03,Hutt Valley,0,24,0,24
2021-03-03,Hawke's Bay,0,44,0,44
2021-03-03,Counties Manukau,9,222,1,232
2021-03-03,Capital and Coast,0,94,2,96
2021-03-03,Canterbury,0,156,12,168
2021-03-03,Bay of Plenty,0,48,0,48
2021-03-03,Managed Isolation & Quarantine,53,596,1,650
2021-03-03,Total,62,2296,26,2384
2021-03-04,Auckland,0,225,1,226
2021-03-04,Whanganui,0,9,0,9
2021-03-04,West Coast,0,4,1,5
2021-03-04,Waitemata,0,296,4,300
2021-03-04,Wairarapa,0,8,0,8
2021-03-04,Waikato,0,193,2,195
2021-03-04,Taranaki,0,16,0,16
2021-03-04,Tairawhiti,0,4,0,4
2021-03-04,Southern,0,214,2,216
2021-03-04,South Canterbury,0,17,0,17
2021-03-04,Northland,0,29,0,29
2021-03-04,Nelson Marlborough,0,49,0,49
2021-03-04,Mid Central,0,32,0,32
2021-03-04,Lakes,0,16,0,16
2021-03-04,Hutt Valley,0,24,0,24
2021-03-04,Hawke's Bay,0,44,0,44
2021-03-04,Counties Manukau,9,222,1,232
2021-03-04,Capital and Coast,0,94,2,96
2021-03-04,Canterbury,0,156,12,168
2021-03-04,Bay of Plenty,0,48,0,48
2021-03-04,Managed Isolation & Quarantine,59,595,1,655
2021-03-04,Total,68,2295,26,2389
2021-03-05,Auckland,0,225,1,226
2021-03-05,Whanganui,0,9,0,9
2021-03-05,West Coast,0,4,1,5
2021-03-05,Waitemata,0,296,4,300
2021-03-05,Wairarapa,0,8,0,8
2021-03-05,Waikato,0,193,2,195
2021-03-05,Taranaki,0,16,0,16
2021-03-05,Tairawhiti,0,4,0,4
2021-03-05,Southern,0,214,2,216
2021-03-05,South Canterbury,0,17,0,17
2021-03-05,Northland,0,29,0,29
2021-03-05,Nelson Marlborough,0,49,0,49
2021-03-05,Mid Central,0,32,0,32
2021-03-05,Lakes,0,16,0,16
2021-03-05,Hutt Valley,0,24,0,24
2021-03-05,Hawke's Bay,0,44,0,44
2021-03-05,Counties Manukau,9,222,1,232
2021-03-05,Capital and Coast,0,94,2,96
2021-03-05,Canterbury,0,156,12,168
2021-03-05,Bay of Plenty,0,48,0,48
2021-03-05,Managed Isolation & Quarantine,59,595,1,655
2021-03-05,Total,68,2295,26,2389
2021-03-06,Auckland,0,225,1,226
2021-03-06,Whanganui,0,9,0,9
2021-03-06,West Coast,0,4,1,5
2021-03-06,Waitemata,0,296,4,300
2021-03-06,Wairarapa,0,8,0,8
2021-03-06,Waikato,0,193,2,195
2021-03-06,Taranaki,0,16,0,16
2021-03-06,Tairawhiti,0,4,0,4
2021-03-06,Southern,0,214,2,216
2021-03-06,South Canterbury,0,17,0,17
2021-03-06,Northland,0,29,0,29
2021-03-06,Nelson Marlborough,0,49,0,49
2021-03-06,Mid Central,0,32,0,32
2021-03-06,Lakes,0,16,0,16
2021-03-06,Hutt Valley,0,24,0,24
2021-03-06,Hawke's Bay,0,44,0,44
2021-03-06,Counties Manukau,4,227,1,232
2021-03-06,Capital and Coast,0,94,2,96
2021-03-06,Canterbury,0,156,12,168
2021-03-06,Bay of Plenty,0,48,0,48
2021-03-06,Managed Isolation & Quarantine,67,596,1,664
2021-03-06,Total,71,2301,26,2398
2021-03-07,Auckland,0,225,1,226
2021-03-07,Whanganui,0,9,0,9
2021-03-07,West Coast,0,4,1,5
2021-03-07,Waitemata,0,296,4,300
